Token,POS
ideale,NSM
bereik,VTHOG
het,VUOT
van,SVS
'n,LO
samelewing,NSE
wat,PB
vry,ASP
is,VTHOK
van,SVS
armoede,NA
en,KN
ontneming,NA
nie,UPO
.,ZE
,
Gedurende,SVS
die,LB
twee,THAB
dekades,NSM
sedert,SVS
Madiba,NEE
se,UPS
vrylating,NA
het,VUOT
ons,PEMB
land,NSE
fundamentele,ASA
veranderinge,NSM
ondergaan,VTHOG
.,ZE
,
President,NSE
Mandela,NEE
het,VUOT
hierdie,PA
land,NSE
verenig,VTHOG
tot,SVS
'n,LO
nie-seksistiese,ASA
",",ZM
nie-rassige,ASA
",",ZM
demokratiese,ASA
en,KN
welvarende,ASA
Suid-Afrika,NEE
as,KO
doelwit,NSE
.,ZE
,
Waar,PB
ons,PEMP
vandag,BS
Madiba,NEE
se,UPS
vrylating,NA
vier,VTHOG
",",ZM
moet,VTUOM
ons,PEMP
onsself,PEMW
weer,BS
daartoe,PB
herverbind,VTHOG
om,SVS
'n,LO
beter,AVA
toekoms,NA
vir,SVS
alle,THAO
Suid-Afrikaners,NSM
",",ZM
swart,ASA
en,KN
wit,ASA
",",ZM
te,UPI
bou,VTHOG
.,ZE
,
Kom,VTUOA
ons,PEMP
streef,VTHOG
opnuut,BS
na,UPW
die,LB
ideaal,NSE
waarvoor,PB
Madiba,NEE
sy,PDHEB
hele,ASA
lewe,NSE
lank,BS
geveg,VVHOO
het,VUOT
-,ZM
die,LB
ideaal,NSE
van,SVS
'n,LO
demokratiese,ASA
en,KN
vrye,ASA
samelewing,NSE
",",ZM
waarin,PB
alle,THAO
mense,NSM
in,SVS
harmonie,NA
en,KN
met,SVS
gelyke,ASA
geleenthede,NSM
saamleef,VTHSO
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Ons,PEMP
het,VUOT
hierdie,PA
gesamentlike,ASA
sitting,NSE
in,SVS
die,LB
aand,NSE
byeengeroep,VVHOG
sodat,KO
die,LB
meerderheid,NSE
van,SVS
ons,PEMB
land,NSE
se,UPS
mense,NSM
",",ZM
werkers,NSM
en,KN
skoolkinders,NSM
",",ZM
ook,BS
deel,NSE
van,SVS
die,LB
geleentheid,NSE
kan,VTUOM
wees,VTHOK
.,ZE
,
Ons,PEMP
is,VVUOP
be‹ndruk,VVHOG
deur,SVS
die,LB
entoesiasme,NA
van,SVS
die,LB
jeug,NM
oor,SVS
hierdie,PA
geleentheid,NSE
.,ZE
,
Tweehonderd,THAB
ses-en-sestig,THAB
kinders,NSM
van,SVS
al,THAO
die,LB
provinsies,NSM
het,VUOT
deelgeneem,VVHOO
aan,SVS
die,LB
pre-Staatsrede-debat,NSE
oor,SVS
die,LB
rol,NSE
van,SVS
die,LB
jeug,NM
in,SVS
die,LB
stryd,NA
teen,SVS
armoede,NA
.,ZE
,
Baie,THAO
geluk,NA
aan,SVS
die,LB
algehele,ASA
wenner,NSE
",",ZM
Charlotte,NEE
Le,NEE
Fleur,NEE
van,SVS
Worcester,NEE
Sekondˆre,ASA
Skool,NSE
",",ZM
asook,KN
aan,SVS
al,THAO
die,LB
deelnemers,NSM
vir,SVS
hul,PDMB
harde,ASA
werk,NA
.,ZE
,
Landsgenote,NSM
en,KN
vriende,NSM
",",ZM
,
Ons,PEMP
ontmoet,VTHOO
hier,BS
teen,SVS
die,LB
agtergrond,NSE
van,SVS
'n,LO
wˆreldwye,ASA
ekonomiese,ASA
krisis,NSE
.,ZE
,
Verlede,ASA
jaar,NSE
het,VUOT
ons,PEMP
ons,PEMB
eerste,TRAB
resessie,NSE
in,SVS
17,RS
jaar,NSE
ervaar,VTHOG
.,ZE
,
Die,LB
krisis,NSE
het,VUOT
ons,PEMB
ekonomie,NSE
ongeveer,BS
900,RS
000,RS
werksgeleenthede,NSM
gekos,VVHOG
.,ZE
,
Baie,THAO
mense,NSM
wat,PB
hul,PDMB
werk,NA
verloor,VTHOG
het,VUOT
",",ZM
was,VVHOK
die,LB
broodwinners,NSM
van,SVS
arm,ASA
families,NSM
.,ZE
,
In,SVS
Februarie,NEE
verlede,ASA
jaar,NSE
het,VUOT
die,LB
regering,NSE
",",ZM
sakelui,NSM
",",ZM
arbeidsektor,NSE
en,KN
gemeenskapsverteenwoordigers,NSM
ooreengekom,VVHOO
op,SVS
'n,LO
pakket,NSE
van,SVS
maatre‰ls,NSM
om,SVS
die,LB
skaal,NSE
en,KN
impak,NA
van,SVS
die,LB
krisis,NSE
te,UPI
bekamp,VTHOG
.,ZE
,
Ons,PEMP
het,VUOT
talle,THAO
van,SVS
hierdie,PA
maatre‰ls,NSM
reeds,BS
in,SVS
werking,NA
gestel,VVHOG
.,ZE
,
Ons,PEMP
het,VUOT
besliste,ASA
teen-resessiebesteding,NA
deur,SVS
die,LB
regering,NSE
ge‹mplementeer,VVHOG
",",ZM
veral,BS
op,SVS
infrastruktuur,NM
.,ZE
,
Ten,SVS
einde,NSE
'n,LO
veiligheidskussing,NSE
vir,SVS
armes,NSM
te,UPI
skep,VTHOG
",",ZM
het,VUOT
ons,PEMP
die,LB
verhogings,NSM
in,SVS
maatskaplike,ASA
toelaes,NSM
vervroeg,VTHOG
",",ZM
en,KN
die,LB
Kindersorgtoelaag,NSE
uitgebrei,VVHOG
na,SVS
kinders,NSM
ouer,AVP
as,KO
14,RS
jaar,NSE
.,ZE
,
Gedurende,SVS
die,LB
volgende,ASA
drie,THAB
jaar,NSE
sal,VTUOM
'n,LO
addisionele,ASA
twee,THAB
miljoen,THAB
kinders,NSM
uit,SVS
arm,ASA
gesinne,NSM
en,KN
huishoudings,NSM
tussen,SVS
die,LB
ouderdom,NSE
van,SVS
15,RS
en,KN
18,RS
jaar,NSE
",",ZM
by,SVS
die,LB
Kindersorgtoelaag,NSE
baat,NSE
vind,VTHOG
.,ZE
,
Die,LB
Nywerheidsontwikkelingskorporasie,NSE
het,VUOT
R6,RS
biljoen,THPB
bewillig,VTHOG
om,SVS
maatskappye,NSM
in,SVS
nood,NA
by,UPW
te,UPI
staan,VTHOO
.,ZE
,
Die,LB
Regering,NSE
het,VUOT
'n,LO
"""",ZPL
opleidingsafleggingskema,NSE
"""",ZPR
ingestel,VVHOG
om,SVS
aan,SVS
werkers,NSM
die,LB
opsie,NSE
van,SVS
'n,LO
opleidingstydperk,NSE
",",ZM
in,SVS
plaas,NSE
van,SVS
aflegging,NA
",",ZM
te,UPI
bied,VTHOG
.,ZE
,
Hierdie,PA
pogings,NSM
is,VVUOP
deur,SVS
ons,PEMB
Openbare,ASA
Werke-program,NSE
versterk,VTHOG
.,ZE
,
Die,LB
nasie,NSE
sal,VTUOM
onthou,VTHOG
dat,KO
ek,PEENP
tydens,SVS
die,LB
2009-Staatsrede,NSE
aangekondig,VVHOG
het,VUOT
dat,KO
die,LB
Uitgebreide,ASA
Openbare,ASA
Werke-program,NSE
teen,SVS
Desember,NEE
2009,RS
500,RS
000,RS
werksgeleenthede,NSM
sou,VVUOM
skep,VTHOG
.,ZE
,
Ek,PEENP
wil,VTUOM
beklemtoon,VTHOG
dat,KO
dit,PDOENP
nie,BS
poste,NSM
in,SVS
die,LB
hoofstroom-ekonomie,NSE
is,VTHOK
nie,UPO
.,ZE
,
Hierdie,PA
is,VTHOK
werksgeleenthede,NSM
wat,PB
geskep,VVHOG
is,VVUOP
om,SVS
werklose,ASA
mense,NSM
van,SVS
'n,LO
inkomste,NSE
",",ZM
ervaring,NA
en,KN
opleidingsgeleenthede,NSM
te,UPI
voorsien,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
mede-Suid-Afrikaners,NSM
,
Ons,PEMP
kondig,VTHOV
graag,BS
aan,UPW
dat,KO
ons,PEMP
teen,SVS
die,LB
einde,NSE
van,SVS
Desember,NEE
reeds,BS
meer,THBO
as,KO
480,RS
000,RS
openbare,ASA
werksgeleenthede,NSM
geskep,VVHOG
het,VUOT
",",ZM
met,SVS
ander,ASA
woorde,NSM
",",ZM
97%,RS
van,SVS
die,LB
doelwit,NSE
wat,PB
ons,PEMP
gestel,VVHOG
het,VUOT
.,ZE
,
Hierdie,PA
poste,NSM
is,VTHOK
in,SVS
areas,NSM
soos,UPV
konstruksie,NSE
",",ZM
tuis-,RWD
en,KN
gemeenskapsgebaseerde,ASA
sorg,NA
en,KN
omgewingsprojekte,NSM
.,ZE
,
Ons,PEMP
het,VUOT
'n,LO
aantal,NSE
terreine,NSM
ge‹dentifiseer,VVHOG
waar,PB
ons,PEMP
in,SVS
die,LB
toekoms,NA
verder,BV
gaan,VTUOM
verbeter,VTHOO
",",ZM
soos,UPV
om,SVS
meer,THBO
arbeidsintensiewe,ASA
projekte,NSM
te,UPI
verseker,VTHOG
.,ZE
,
Ons,PEMP
weet,VTHOG
egter,BS
dat,KO
hierdie,PA
en,KN
ander,ASA
maatre‰ls,NSM
nie,BS
die,LB
uitwerkings,NSM
van,SVS
die,LB
resessie,NSE
heeltemal,BS
kan,VTUOM
temper,VTHOG
nie,UPO
.,ZE
,
Ons,PEMP
is,VTHOK
dankbaar,ASP
vir,SVS
die,LB
gees,NA
van,SVS
familie,NSE
",",ZM
gemeenskap,NSE
en,KN
vrywillige,ASA
werk,NA
wat,PB
soveel,THAO
mense,NSM
inspireer,VTHOG
om,SVS
diegene,PO
wat,PB
die,LB
swaarste,BO
deur,SVS
die,LB
krisis,NSE
getref,VVHOG
word,VTUOP
",",ZM
deur,SVS
hierdie,PA
moeilike,ASA
tye,NSM
te,UPI
help,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Ekonomiese,ASA
aanwysers,NSM
dui,VTHOG
daarop,PB
dat,KO
ons,PEMP
nou,BS
deur,SVS
die,LB
ergste,AOA
van,SVS
die,LB
ekonomiese,ASA
resessie,NSE
is,VTHOK
.,ZE
,
Ekonomiese,ASA
aktiwiteit,NSE
is,VTHOK
aan,SVS
die,LB
toeneem,NA
in,SVS
Suid-Afrika,NEE
",",ZM
en,KN
ons,PEMP
verwag,VTHOG
groei,NA
in,SVS
die,LB
toekoms,NA
.,ZE
,
Die,LB
arbeidstatistiek,NSE
wat,PB
Dinsdag,NEE
vrygestel,VVHOG
is,VVUOP
",",ZM
dui,VTHOG
daarop,PB
dat,PB
die,LB
ekonomie,NSE
tans,BS
werksgeleenthede,NSM
skep,VTHOG
eerder,BS
as,KO
om,SVS
dit,PDOENP
in,UPW
te,UPI
boet,VTHOG
.,ZE
,
Dit,PDOENP
is,VTHOK
egter,BS
te,UPG
gou,BS
om,SVS
seker,ASP
te,UPI
wees,VTHOK
oor,SVS
die,LB
tempo,NSE
van,SVS
hierdie,PA
herstelproses,NSE
.,ZE
,
Die,LB
Regering,NSE
sal,VTUOM
dus,BS
nog,BS
nie,BS
sy,PDHEB
ondersteuningsmaatre‰ls,NSM
opskort,VTHSG
nie,UPO
.,ZE
,
Dit,PDOENP
is,VTHOK
nou,BS
die,LB
tyd,NM
om,SVS
die,LB
basis,NSE
te,UPI
lˆ,VTHOG
vir,SVS
sterker,AVA
groei,NA
in,SVS
die,LB
toekoms,NA
en,KN
vir,SVS
groei,NA
wat,PB
tot,SVS
meer,THAO
werksgeleenthede,NSM
lei,VTHOO
.,ZE
,
Ons,PEMB
langtermyn-infrastruktuurprogram,NSE
sal,VTUOM
ons,PEMP
help,VTHOG
om,SVS
vinniger,BV
te,UPI
groei,VTHOO
.,ZE
,
Ons,PEMB
onderwys-,RWD
en,KN
vaardigheidsprogramme,NSM
sal,VTUOM
ons,PEMP
produktiwiteit,NA
en,KN
mededingendheid,NA
verhoog,VTHOG
.,ZE
,
Ons,PEMB
Nywerheidsbeleids-aksieplan,NSE
en,KN
ons,PEMB
nuwe,ASA
fokus,NSE
op,SVS
groen,ASA
werksgeleenthede,NSM
sal,VTUOM
sterker,BV
en,KN
meer,THBO
arbeids-absorberende,ASA
nywerhede,NSM
bou,VTHOG
.,ZE
,
Ons,PEMB
landelike,ASA
ontwikkelingsprogram,NSE
sal,VTUOM
landelike,ASA
produktiwiteit,NA
verhoog,VTHOG
en,KN
die,LB
lewens,NSM
van,SVS
die,LB
mense,NSM
in,SVS
landelike,ASA
gebiede,NSM
verbeter,VTHOG
.,ZE
,
Ons,PEMB
kapitaalinvesteringsprogram,NSE
lˆ,VTHOG
ten,SVS
grondslag,NSE
aan,SVS
ons,PEMB
strategie,NSE
vir,SVS
ekonomiese,ASA
herstel,NA
en,KN
groei,NA
.,ZE
,
Oor,SVS
die,LB
volgende,ASA
drie,THAB
jaar,NSE
sal,VTUOM
die,LB
regering,NSE
R846,RS
biljoen,THPB
aan,SVS
openbare,ASA
infrastruktuur,NM
spandeer,VTHOG
.,ZE
,
Op,SVS
die,LB
terrein,NSE
van,SVS
vervoer,NA
",",ZM
sal,VTUOM
ons,PEMP
ons,PEMB
padnetwerk,NSE
in,SVS
stand,NA
hou,VTHOG
en,KN
uitbrei,VTHSG
.,ZE
,
Ons,PEMP
sal,VTUOM
verseker,VTHOG
dat,KO
ons,PEMB
spoornetwerk,NSE
betroubaar,ASP
en,KN
mededingend,ASP
is,VTHOK
en,KN
beter,BV
met,SVS
ons,PEMB
seehawens,NSM
ge‹ntegreer,VVHOG
is,VVUOP
.,ZE
,
Om,SVS
betroubare,ASA
kragtoevoer,NM
te,UPI
verseker,VTHOG
",",ZM
het,VUOT
ons,PEMP
'n,LO
Inter-Ministeri‰le,ASA
Komitee,NSE
oor,SVS
Energie,NM
ingestel,VVHOG
",",ZM
om,SVS
'n,LO
20-jaar-,RWD
ge‹ntegreerde,ASA
hulpbronplan,NSE
te,UPI
ontwikkel,VTHOG
.,ZE
,
Hierdie,PA
komitee,NSE
sal,VTUOM
",",ZM
onder,SVS
andere,NSM
",",ZM
kyk,VTHOO
na,SVS
die,LB
deelname,NA
van,SVS
onafhanklike,ASA
kragprodusente,NSM
",",ZM
en,KN
arm,ASA
mense,NSM
teen,SVS
stygende,ASA
elektrisiteitspryse,NSM
beskerm,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
'n,LO
onafhanklike,ASA
stelseloperateur,NSE
instel,VTHSG
",",ZM
wat,PB
afsonderlik,BS
van,SVS
Eskom,RK
Beherend,NSE
sal,VTUOM
funksioneer,VTHOO
.,ZE
,
Eskom,RK
sal,VTUOM
voortgaan,VTHSO
om,SVS
addisionele,ASA
opwekkingskapasiteit,NSE
te,UPI
bou,VTHOG
en,KN
die,LB
instandhouding,NA
van,SVS
sy,PDHEB
kragstasies,NSM
te,UPI
verbeter,VTHOG
.,ZE
,
Ten,SVS
einde,NSE
'n,LO
inklusiewe,ASA
ekonomie,NSE
te,UPI
verseker,VTHOG
wat,PB
groei,NA
en,KN
ontwikkeling,NA
bevorder,VTHOG
",",ZM
het,VUOT
ons,PEMP
die,LB
Adviesraad,NSE
oor,SVS
Bre‰,ASA
Swart,ASA
Ekonomiese,ASA
Bemagtiging,NA
in,SVS
die,LB
lewe,NSE
geroep,VVHOG
",",ZM
onder,SVS
voorsitterskap,NA
van,SVS
die,LB
President,NSE
.,ZE
,
Beleidsverandering,NSE
moet,VTUOM
fokus,VTHOO
op,SVS
ingrypings,NSM
om,SVS
werksgeleenthede,NSM
vir,SVS
jongmense,NSM
te,UPI
skep,VTHOG
.,ZE
,
Werkloosheidskoerse,NSM
vir,SVS
jongmense,NSM
is,VTHOK
aansienlik,BS
ho‰r,AVP
as,KO
die,LB
gemiddeld,NSE
.,ZE
,
Voorstelle,NSM
sal,VTUOM
ingedien,VVHOG
word,VTUOP
om,SVS
die,LB
koste,NSE
van,SVS
die,LB
indiensneming,NA
van,SVS
jonger,AVA
werkers,NSM
te,UPI
subsidieer,VTHOG
ten,SVS
einde,NSE
ondernemings,NSM
aan,UPW
te,UPI
moedig,VTHOG
om,SVS
onervare,ASA
personeel,NM
in,SVS
diens,NSE
te,UPI
neem,VTHOG
.,ZE
,
'n,LO
Verdere,ASA
uitbreiding,NSE
van,SVS
openbare-werkskeppingsprogramme,NSM
is,VTHOK
ook,BS
reeds,BS
aan,SVS
die,LB
gang,NA
.,ZE
,
Dit,PDOENP
sluit,VTHOG
in,UPW
plaaslike-infrastruktuur-,RWD
en,KN
tersiˆre,ASA
projekte,NSM
en,KN
geletterdheidsprojekte,NSM
",",ZM
tuisgebaseerde,ASA
versorging,NA
",",ZM
skoolinstandhouding,NA
en,KN
vroe‰kindontwikkelings-inisiatiewe,NSM
.,ZE
,
Verlede,ASA
jaar,NSE
het,VUOT
ons,PEMP
die,LB
Nasionale,ASA
Jeugontwikkelingsagentskap,NSE
in,SVS
die,LB
lewe,NSE
geroep,VVHOG
.,ZE
,
Ons,PEMP
het,VUOT
die,LB
Agentskap,NSE
aangesˆ,VVHOG
om,SVS
vinniger,BV
te,UPI
werk,VTHOO
om,SVS
sy,PDHEB
strukture,NSM
regdeur,SVS
die,LB
land,NSE
te,UPI
vestig,VTHOG
sodat,KO
dit,PDOENP
ons,PEMP
kan,VTUOM
help,VTHOG
om,SVS
jeugontwikkelingsprogramme,NSM
in,SVS
die,LB
regering,NSE
as,KO
hoofstroomprojekte,NSM
te,UPI
loods,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Toe,PB
hierdie,PA
administrasie,NSE
verlede,ASA
jaar,NSE
aan,SVS
bewind,NA
gekom,VVHOO
het,VUOT
",",ZM
het,VUOT
ons,PEMP
onsself,PEMW
daartoe,PB
verbind,VTHOG
om,SVS
harder,BV
te,UPI
werk,VTHOO
om,SVS
'n,LO
sterk,ASA
ontwikkelingstaat,NSE
te,UPI
bou,VTHOG
.,ZE
,
Ons,PEMP
het,VUOT
gesˆ,VVHOG
dat,KO
dit,PDOENP
'n,LO
staat,NSE
sou,VVUOM
wees,VTHOK
wat,PB
op,SVS
die,LB
mense,NSM
se,UPS
behoeftes,NSM
en,KN
aspirasies,NSM
reageer,VTHOO
",",ZM
en,KN
wat,PB
beter,BV
en,KN
vinniger,BV
presteer,VTHOO
.,ZE
,
Hierdie,PA
jaar,NSE
",",ZM
2010,RS
",",ZM
sal,VTUOM
'n,LO
jaar,NSE
van,SVS
aksie,NSE
wees,VTHOK
.,ZE
,
Die,LB
onderskeidende,ASA
kenmerk,NSE
van,SVS
hierdie,PA
administrasie,NA
sal,VTUOM
wees,VTHOK
dat,KO
dit,PDOENP
weet,VTHOG
waar,PB
mense,NSM
bly,VTHOO
",",ZM
hulle,PDMB
behoeftes,NSM
verstaan,VTHOG
en,KN
vinniger,BV
daarop,PB
reageer,VTHOO
.,ZE
,
Die,LB
Regering,NSE
moet,VTUOM
vinniger,BV
",",ZM
harder,BV
en,KN
slimmer,BV
werk,VTHOO
.,ZE
,
Ons,PEMP
sal,VTUOM
van,SVS
die,LB
Uitvoerende,ASA
Gesag,NA
en,KN
die,LB
Staatsdiens,NSE
verwag,VTHOG
om,SVS
aan,SVS
hierdie,PA
visie,NSE
te,UPI
voldoen,VTHOV
.,ZE
,
Ons,PEMP
bou,VTHOG
'n,LO
staat,NSE
wat,PB
op,SVS
effektiewe,ASA
werkverrigting,NA
fokus,VTHOO
.,ZE
,
Dit,PDOENP
sal,VTUOM
bereik,VTHOG
word,VTUOP
deur,SVS
beplanning,NA
asook,KN
prestasie-monitering,NA
en,KN
-evaluering,RWD
te,UPI
verbeter,VTHOG
.,ZE
,
Ons,PEMP
moet,VTUOM
ook,BS
geslagsgelykheidsmaatre‰ls,NSM
in,SVS
die,LB
Regering,NSE
se,UPS
Aksieprogram,NSE
integreer,VTHOG
.,ZE
,
Hierdie,PA
optrede,NSE
sal,VTUOM
verseker,VTHOG
dat,KO
vroue,NSM
",",ZM
kinders,NSM
en,KN
persone,NSM
met,SVS
gestremdhede,NSM
toegang,NA
tot,SVS
ontwikkelingsgeleenthede,NSM
kry,VTHOG
.,ZE
,
Ons,PEMP
kondig,VTHOV
graag,BS
aan,UPW
dat,KO
ons,PEMP
in,SVS
die,LB
Regering,NSE
dinge,NSM
op,SVS
'n,LO
nuwe,ASA
manier,NSE
gaan,VTUOM
doen,VTHOG
.,ZE
,
Departemente,NSM
se,UPS
werk,NA
sal,VTUOM
gemeet,VVHOG
word,VTUOP
deur,SVS
uitkomste,NSM
",",ZM
wat,PB
op,SVS
grond,NSE
van,SVS
ons,PEMB
prestasie-monitering-en-evalueringstelsel,NSE
ontwikkel,VTHOG
word,VTUOP
.,ZE
,
Die,LB
ministers,NSM
wat,PB
vir,SVS
'n,LO
bepaalde,ASA
uitkoms,NSE
verantwoordelik,ASP
is,VTHOK
",",ZM
sal,VTUOM
'n,LO
gedetailleerde,ASA
leweringsooreenkoms,NSE
met,SVS
die,LB
president,NSE
onderteken,VTHOG
.,ZE
,
Hierdie,PA
ooreenkomste,NSM
sal,VTUOM
duidelik,BS
uiteensit,VTHSG
wat,PB
gedoen,VVHOG
moet,VTUOM
word,VTUOP
",",ZM
hoe,PB
",",ZM
deur,SVS
wie,PB
",",ZM
binne,SVS
watter,PB
tydperk,NSE
en,KN
met,SVS
behulp,NA
van,SVS
watter,PB
maatre‰ls,NSM
en,KN
hulpbronne,NSM
.,ZE
,
Soos,UPV
u,PTENP
weet,VTHOO
",",ZM
is,VVUOP
ons,PEMP
verbind,VTHOG
tot,SVS
vyf,THAB
prioriteite,NSM
:,ZM
,
onderwys,NA
",",ZM
gesondheid,NA
",",ZM
landelike,ASA
ontwikkeling,NA
en,KN
grondhervorming,NA
",",ZM
skepping,NA
van,SVS
ordentlike,ASA
werksgeleenthede,NSM
en,KN
die,LB
bestryding,NA
van,SVS
misdaad,NSE
.,ZE
,
Daarbenewens,PB
sal,VTUOM
ons,PEMP
werk,VTHOO
om,SVS
die,LB
effektiwiteit,NA
van,SVS
plaaslike,ASA
regering,NSE
",",ZM
infrastruktuurontwikkeling,NA
en,KN
menslike,ASA
nedersettings,NSM
te,UPI
verbeter,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
'n,LO
aantal,NSE
sleutelaktiwiteite,NSM
onderneem,VTHOG
ter,SVS
bereiking,NA
van,SVS
hierdie,PA
uitkomste,NSM
.,ZE
,
Ons,PEMP
het,VUOT
onderwys,NA
en,KN
vaardigheidsontwikkeling,NA
as,KO
die,LB
middelpunt,NSE
van,SVS
hierdie,PA
regering,NSE
se,UPS
beleide,NSM
gestel,VVHOG
.,ZE
,
In,SVS
ons,PEMB
2010-program,NSE
wil,VTUOM
ons,PEMP
die,LB
vermo‰,NSE
van,SVS
kinders,NSM
om,SVS
in,SVS
die,LB
grondslagjare,NSM
te,UPI
lees,VTHOO
",",ZM
skryf,VTHOO
en,KN
tel,VTHOO
",",ZM
verbeter,VTHOG
.,ZE
,
As,KO
ons,PEMP
dit,PDOENP
ni‚,BS
doen,VTHOG
nie,UPO
",",ZM
sal,VTUOM
ons,PEMP
nie,BS
die,LB
gehalte,NA
van,SVS
die,LB
onderwys,NA
kan,VTUOM
verbeter,VTHOG
nie,UPO
.,ZE
,
Ons,PEMB
onderwysteikens,NSM
is,VTHOK
eenvoudig,ASP
",",ZM
maar,KN
van,SVS
kritiese,ASA
belang,NSE
.,ZE
,
Ons,PEMP
wil,VTUOM
hˆ,VTHOG
dat,KO
leerders,NSM
en,KN
onderwysers,NSM
betyds,BS
in,SVS
die,LB
skool,NSE
",",ZM
in,SVS
die,LB
klas,NSE
moet,VTUOM
wees,VTHOK
",",ZM
besig,ASP
om,SVS
sewe,THAB
uur,NSE
per,SVS
dag,NSE
te,UPI
leer,VTHOO
en,KN
te,UPI
onderrig,VTHOO
.,ZE
,
Ons,PEMP
sal,VTUOM
onderwysers,NSM
help,VTUOA
deur,SVS
gedetailleerde,ASA
daaglikse,ASA
lesplanne,NSM
te,UPI
voorsien,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
werkboeke,NSM
wat,PB
maklik,ASP
is,VTHOK
om,SVS
te,UPI
gebruik,VTHOO
in,SVS
al,THBO
11,RS
tale,NSM
aan,SVS
studente,NSM
voorsien,VTHOG
.,ZE
,
Van,SVS
vanjaar,BS
af,SVS
sal,VTUOM
alle,THAO
leerders,NSM
in,SVS
graad,NSE
3,RS
",",ZM
6,RS
en,KN
9,RS
geletterdheids-,RWD
en,KN
gesyferdheidstoetse,NSM
skryf,VTHOG
",",ZM
wat,PB
onafhanklik,BS
gemodereer,VVHOG
word,VTUOP
.,ZE
,
Ons,PEMB
mikpunt,NSE
is,VTHOK
om,SVS
die,LB
slaagsyfer,NSE
vir,SVS
hierdie,PA
toetse,NSM
van,SVS
die,LB
huidige,ASA
gemiddeld,NSE
van,SVS
tussen,SVS
35,RS
en,KN
40%,RS
tot,SVS
minstens,TRBO
60%,RS
teen,SVS
2014,RS
te,UPI
verhoog,VTHOG
.,ZE
,
Die,LB
uitslae,NSM
sal,VTUOM
aan,SVS
die,LB
ouers,NSM
gestuur,VVHOG
word,VTUOP
om,SVS
vordering,NA
te,UPI
monitor,VTHOG
.,ZE
,
Daarbenewens,PB
sal,VTUOM
elk,PO
van,SVS
ons,PEMB
27,RS
000,RS
skole,NSM
deur,SVS
amptenare,NSM
van,SVS
die,LB
Departement,NSE
van,SVS
Basiese,ASA
Onderwys,NA
geassesseer,VVHOG
word,VTUOP
.,ZE
,
Dit,PDOENP
sal,VTUOM
in,SVS
'n,LO
ouditeerbare,ASA
skriftelike,ASA
verslag,NSE
opgeteken,VVHOG
word,VTUOP
.,ZE
,
Ons,PEMP
beoog,VTHOG
om,SVS
die,LB
aantal,NSE
matriekstudente,NSM
met,SVS
universiteitstoelating,NA
teen,SVS
2014,RS
tot,SVS
175,RS
000,RS
per,SVS
jaar,NSE
te,UPI
verhoog,VTHOG
.,ZE
,
Ons,PEMP
spoor,VTHOG
ouers,NSM
aan,UPW
om,SVS
met,SVS
ons,PEMP
saam,UPW
te,UPI
werk,VTHOO
om,SVS
'n,LO
sukses,NSE
hiervan,PB
te,UPI
maak,VTHOG
.,ZE
,
Ons,PEMP
verwelkom,VTHOG
verlede,ASA
maand,NSE
se,UPS
verklaring,NSE
deur,SVS
die,LB
drie,THAB
onderwysersvakbonde,NSM
",",ZM
NAPTOSA,RK
",",ZM
SADTU,RK
en,KN
SAOU,RK
",",ZM
waarin,PB
hulle,PDMP
hulle,PDMW
vanaf,SVS
die,LB
begin,NA
van,SVS
2010,RS
herverbind,VTHOG
het,VUOT
tot,SVS
die,LB
Kwaliteit,NA
Leer-,RWD
en,KN
Onderrigveldtog,NSE
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Ons,PEMP
moet,VTUOM
in,SVS
ons,PEMB
jeug,NM
belˆ,VTHOO
ten,SVS
einde,NSE
'n,LO
vaardige,ASA
en,KN
bekwame,ASA
werksmag,NSE
te,UPI
verseker,VTHOG
wat,PB
groei,NA
en,KN
werkskepping,NA
ondersteun,VTHOG
.,ZE
,
Ons,PEMP
beplan,VTHOG
dus,BS
om,SVS
die,LB
opleiding,NA
van,SVS
16,RS
tot,SVS
25-jarige,ASA
persone,NSM
te,UPI
verbeter,VTHOG
in,SVS
verdere,ASA
onderwys-en-opleidingsfasiliteite,NSM
.,ZE
,
Dit,PDOENP
sal,VTUOM
ons,PEMP
in,SVS
staat,NSE
stel,VTHOG
om,SVS
aan,SVS
diegene,PO
wat,PB
nie,BS
vir,SVS
universiteit,NSE
kwalifiseer,VTHOO
nie,UPO
",",ZM
nog,BS
'n,LO
kans,NSE
op,SVS
geleerdheid,NA
te,UPI
bied,VTHOG
.,ZE
,
Ons,PEMP
werk,VTHOO
saam,UPW
met,SVS
ho‰ronderwysinstellings,NSM
om,SVS
te,UPI
verseker,VTHOG
dat,KO
studente,NSM
wat,PB
daarvoor,PB
kwalifiseer,VTHOO
",",ZM
deur,SVS
die,LB
Nasionale,ASA
Finansi‰le,ASA
Hulpskema,NSE
vir,SVS
Studente,NSM
